Nome/Razão Social;Data de Publicação do Ato;Nome do Município;UF
LEOMAR B DE SOUZA - ME;08/08/2017;Riacho dos Cavalos;PB
ANTONIO BARBOSA PEREIRA - ME;13/12/2016;Domingos Mourão;PI
GNA TELECOM LTDA - ME;16/04/2010;Sabará;MG
EVOLUNET PROVEDORA DE INTERNET LTDA-ME;23/09/2008;Campinas;SP
DEYVERSON DA SILVA BARBOZA;21/07/2017;Maranguape;CE
MARIO JOSE ROCHA - ME;09/05/2016;São José do Egito;PE
META - CTI CONSULTORIA E TECNOLOGIA DA INFORMAÇÃO LTDA - ME;02/09/2015;Valinhos;SP
N W INFORMATICA LTDA - ME;12/08/2015;Araçu;GO
ATLANET TELECOMUNICAÇÕES LTDA EPP;29/06/2011;São Paulo;SP
RENOVENET TELECOMUNICAÇÕES LTDA ME;16/05/2016;Jaboatão dos Guararapes;PE
SGV SERVICOS DE TI E TELECOM LTDA  - ME;31/03/2017;Cuiabá;MT
BARRA NET LTDA - ME;16/10/2017;Itajaí;SC
COMPUTADORES E SISTEMAS LTDA;15/12/2006;Salvador;BA
ANDRE LUIS SOARES DE LIMA - ME;05/08/2016;Fortaleza;CE
IWNET TELECOM LTDA ME;31/01/2013;São Paulo;SP
A A INFORMATICA E MANUTENCAO LTDA - ME;20/11/2015;Jaguaquara;BA
EGHERT INFORMATICA LTDA ME;30/11/2012;Imaruí;SC
HUB PUSH TELECOMUNICACOES EIRELI - ME;01/12/2016;São Paulo;SP
S S P - SERVICOS DE INFORMATICA E TELECOM EIRELI - EPP;03/05/2017;Ananindeua;PA
T F DA SILVA RAMOS TELECOMUNICAÇÕES E SISTEMAS - ME;25/08/2014;João Alfredo;PE
INFORWAY INFORMATICA E TELEFONIA LTDA - ME;19/08/2016;Montanhas;RN
BISSOLOTTI & BISSOLOTTI LTDA;19/05/2010;Querência;MT
SJNET TELECOMUNICACOES LTDA;21/02/2013;São João de Meriti;RJ
CHARLES  LUCIAN FRANK ROSCHILDT - ME;16/03/2016;Canguçu;RS
PUMA INTERNET TECNOLOGIA DE COMUNICAÇÃO LTDA ME;27/01/2010;Planaltina;GO
HCMRF SERVIÇOS DE TELECOMUNICAÇOES LTDA ME;22/03/2010;Joinville;SC
JOSE IVAN ARAGAO RESENDE;11/03/2010;Nossa Senhora de Lourdes;SE
R DE MELO NEVES CONEX - ME;06/09/2016;Arapiraca;AL
TOTALL NET LTDA - ME;13/08/2015;Pocrane;MG
SIRLEY MARTINS ALVES DO PRADO - ME;21/11/2016;Palminópolis;GO
NEOGRID DATACENTER S.A.;02/09/2013;Joinville;SC
ANA PAULA BITENCOURT NUGOLI - ME;28/11/2016;Ponta Porã;MS
VIAWEB BRASIL INFORMATICA LTDA - ME;08/09/2016;Curitiba;PR
E. R. DOS SANTOS & LIMA LTDA - ME;08/07/2015;Goioerê;PR
WIKINET TELECOMUNICACOES LTDA - ME;07/06/2016;Brasília;DF
CONECT PROVEDOR DE ACESSO A INTERNET LTDA - ME;18/03/2015;Tanguá;RJ
BRASIL RADIOWAVE LTDA-ME;12/11/2004;Guarapari;ES
TELMEX DO BRASIL S/A;09/10/2002;São Paulo;SP
REAL TELECOM EIRELI ME - ME;26/12/2016;Trindade;GO
A ALBANES GARCIA TECNOLOGIA LTDA - ME;16/08/2013;Nova Granada;SP
BECKER & SANCHES LTDA. ME.;12/09/2012;Jacarezinho;PR
RD REDES DE COMUNICAÇOES LTDA ;18/03/2013;Aparecida de Goiânia;GO
HIAGO JOSE GONCALVES - ME;08/12/2016;Nova Castilho;SP
SOLUCAO SERVICOS DE INTERNET TANABI LTDA.;02/03/2011;Tanabi;SP
MARIANA VEIGA MAIA - ME;08/09/2016;Juiz de Fora;MG
CARNEIRO INFORMATICA LTDA;04/11/2015;Santa Quitéria;CE
WIK-TEL SERVIÇOS DE TELECOMUNICAÇÕES LTDA - EIRELI;18/07/2006;São José;SC
ANDRESA DA SILVA BARBOSA SANDOVAL ME ;25/02/2013;Ribeirão Preto;SP
4U NETWORK - PSI E SERVICOS DE INFORMATICA LTDA - ME;15/07/2014;Florianópolis;SC
MINAS NET LTDA ME ;11/01/2012;Lagarto;SE
JONHWELTON GONCALVES FROTA - ME;24/06/2016;Januária;MG
HEITOR RALFF FRAGA - ME;02/03/2015;Quatá;SP
RENE JONATHAN DE SOUSA SILVA - ME;17/10/2016;Jericó;PB
ELTON LUCIO PACHECO WOLFF - ME;11/09/2015;São Borja;RS
MARCO AURELIO SUZIN PEREIRA DA ROSA - ME;17/11/2016;Porto Alegre;RS
URUPESNET PROVEDOR DE ACESSO A INTERNET LTDA - ME;11/02/2015;Urupês;SP
YSABELLA KRISTINA CALCAGNO RODRIGUES EIRELI - ME;23/02/2015;Ananindeua;PA
MINAS MULTIMIDIA  LTDA;28/02/2012;Maringá;PR
TELECOMUNICAÇÕES NETCORO LTDA - ME;11/08/2005;Coromandel;MG
4 I.NET SOROCABA LTDA - EPP;12/01/2012;Sorocaba;SP
NOSSA REDE TELECOM LTDA ME;28/11/2013;Jaboatão dos Guararapes;PE
J E J TV POR ASSINATURA LTDA - ME;12/11/2007;Nova Venécia;ES
GIATECH TELECOMUNICACOES LTDA - ME;14/08/2017;Saudade do Iguaçu;PR
WAGNER BARBOSA DA COSTA - ME;29/03/2017;João Pessoa;PB
IP2TEL SERVIÇOS DE COMUNICAÇÃO MULTIMÍDIA EIRELI ME - EPP;17/06/2015;Teresina;PI
WALTER FARIAS FERREIRA - ME;10/03/2017;Mari;PB
MAIS EMPRESAS IMPORTAÇÃO, COMERCIO ELETRONICOS E SERVIÇOS DE TELECOMUNICAÇÕES LTDA - ME;24/09/2013;Maringá;PR
YASUMITSU & YASUMITSU LTDA - ME;11/04/2013;Ourizona;PR
MEGA ROTA SERVIÇOS E TECNOLOGIA LTDA - ME;14/05/2015;Paragominas;PA
G30 TELECOM SERVIÇOS EM TELECOMUNICAÇÕES LTDA;22/07/2011;Vinhedo;SP
ANDRADE & LANDIM TELECOMUNICAÇÕES LTDA;17/11/2010;Santa Rita do Sapucaí;MG
F1NET COMERCIO E SERVIÇO LTDA;18/09/2015;Fortaleza;CE
ALTERNATIVA REDES DE COMUNICACAO LTDA - ME;30/10/2017;Inhuma;PI
RURALWEB TELECOMUNICAÇÕES LTDA ;12/11/2004;Belo Horizonte;MG
ONLINE SOLUCOES EM TI E MULTIMIDIA LTDA - EPP;28/08/2017;Belo Horizonte;MG
PROVIDER SOLUTION INTERNET & TELECOM LTDA - ME;26/09/2016;Itanhaém;SP
PRONTO TELECOM EIRELI - ME;23/09/2016;Palmas;TO
TELEXPERTS TELECOMUNICAÇÕES LTDA;04/02/2010;Rio de Janeiro;RJ
TINAS TELECOMUNICAÇÕES, INFORMÁTICA E INTERNET LTDA - ME;22/12/2014;Rio de Janeiro;RJ
CABO COMUNICAÇÕES LTDA;03/01/2012;Natal;RN
VCOM TECNOLOGIA DE INFORMACOES LTDA - ME;24/12/2014;São Paulo;SP
INTERFOX TELECOMUNICACOES EIRELI;28/04/2010;Itajobi;SP
BRUMANET LTDA;06/04/2010;Brumadinho;MG
J FELIX DE SOUZA;19/06/2017;Serra;ES
AFCH SOLUÇÕES E EMPREENDIMENTOS LTDA - ME;28/03/2016;Ribeirão das Neves;MG
E PLUS INTERNET LTDA ME;31/10/2012;Uberlândia;MG
JORGILSON CABRAL DOS SANTOS - ME;13/03/2017;Petrolina;PE
ARROBA NET BANDA LARGA LTDA. - ME;01/11/2010;Campos dos Goytacazes;RJ
IVELOZ TELECOM SERVIÇOS EM TELECOMUNICAÇÕES LTDA;11/10/2011;Itaquaquecetuba;SP
GRUPO VIVATELECOM LTDA - ME;10/08/2016;Salvador;BA
J. C MENDES COMUNICAÇÃO MULTIMIDIA;19/08/2014;Fátima do Sul;MS
SHIMABUKURO & ZANGUETTIN LTDA - ME;26/01/2010;Herculândia;SP
M.R. DA SILVA PROVEDOR DE INTERNET ;30/03/2015;Borá;SP
DOMITEC INFORMATICA LTDA;07/06/2010;Farroupilha;RS
TERABYTE SERVIÇOS DE TELECOMUNICAÇÕES EM BANDA LARGA LTDA -EPP;24/03/2011;Bom Jardim;RJ
WEB WIFI PROVEDORES DE INTERNET LTDA;06/07/2009;São Paulo;SP
AKI PROVEDOR DE INTERNET LTDA. ME;26/03/2008;São Gabriel da Palha;ES
GLOBALLIG TELECOMUNICACOES LTDA - ME;19/07/2016;Cajazeiras;PB
GUEDES & LOPES COMUNICAÇAO E INFORMATICA LTDA-ME ;26/01/2010;Guaíra;SP
GIGA BYTE PRODUTOS E SERVICOS DE INFORMATICA LTDA;22/06/2009;Sinop;MT
SOLUTION INFORMATICA E TELECOMUNICACOES LTDA - ME;27/03/2008;Parintins;AM
GM TELECOM E INFORMÁTICA LTDA ME;05/08/2016;Cerqueira César;SP
ALLYSON DINIZ MELO EIRELI;02/03/2016;Campina Grande;PB
PROVERADIO COMERCIO E SERVIÇOS LTDA - ME;15/04/2016;Cerro Azul;PR
MIRIAM DOS SANTOS OLIVEIRA - ME;12/04/2011;Rio das Pedras;SP
JHONNICON KERVE AMARAL SANTOS;29/09/2017;Divisa Alegre;MG
FASTNET TELECOMUNICAÇÕES LTDA - ME;26/05/2015;Rio Bonito;RJ
GFC TELECOM LTDA - ME;09/06/2017;Floriano Peixoto;RS
EDUARDO HENRIQUE FIGUEIRA CLEMENTE ME;04/07/2016;Piranhas;AL
GABISAT SERVICOS DE TV A CABO E TELECOMUNICACOES EM GERAL LTDA ME;22/11/2013;Cabo Frio;RJ
ANTONIO CESAR AZEVEDO - ME;04/07/2016;Santiago;RS
MIKROCENTER INFORMATICA LTDA - EPP;13/10/2004;Mossoró;RN
YUNE NET INFORMATICA LTDA;31/07/2009;Vilhena;RO
OSVALDINO SILVA SANTOS - ME;26/09/2016;Nossa Senhora do Socorro;SE
DJG PROVEDOR E SERVIÇOS DE TELECOMUNICAÇÕES LTDA - ME;08/07/2016;Guarujá;SP
EDER T MARTINS - ME;19/08/2016;Jaboatão dos Guararapes;PE
E. D. SERVIÇOS DE COMUNICAÇÕES LTDA;18/09/2012;Penedo;AL
PINHAIS NET TELECOM COMERCIO E SERVI OS LTDA  - ME;11/01/2017;Pinhais;PR
FS PROVEDORES LTDA - ME;01/12/2009;Santana do Araguaia;PA
SOMA COMÉRCIO E SERVIÇOS DE TELECOMUNICAÇÕES LTDA ME;25/02/2009;Nova Glória;GO
EMANUEL TONIS FLORZ;24/08/2015;Paulo Frontin;PR
J RIBAMAR NEVES JUNIOR;10/12/2015;Pacatuba;CE
JOSÉ CHARLES ROCHA BRAGA - ME;23/05/2016;Caucaia;CE
CPLAND SERVIÇOS DE TELECOMUNICAÇÕES LTDA;15/09/2005;Petrópolis;RJ
RIOTEL TELECOMUNICACOES LESTE LTDA - ME;07/05/2014;Rio de Janeiro;RJ
EVEREST SOLUÇÕES EM TELECOMUNICAÇÕES LTDA ;15/01/2009;Cuiabá;MT
REDE NACIONAL DE INTERNET E INFORMÁTICA LTDA ME;07/11/2011;Manaus;AM
F S DE SOUZA CONNECT SOLUÇÕES TECNOLÓGICAS E INTERNET;14/04/2015;Guarapari;ES
CRIFF NET TELECOM  LTDA  ME;25/11/2011;Imbaú;PR
NWA TELECOMUNICACOES LTDA - ME;02/03/2015;Cabo Frio;RJ
FASTNET TELECOM LTDA - ME;09/07/2010;Ribeirópolis;SE
GARCIA SERVIÇOS DE COMUNICAÇÕES LTDA - ME;17/05/2011;Penápolis;SP
PROPAGA TELECOMUNICAÇÕES LTDA - ME;20/01/2014;Uberlândia;MG
IBR INFORMATICA LTDA;16/06/2011;Capelinha;MG
CONECT TELECOMUNICAÇOES COMUNICAÇOES E MULTIMIDIA LTDA;01/10/2013;Araxá;MG
RALUEL COMERCIO LTDA - ME;28/12/2010;Pratânia;SP
DDD NET SERVICOS DE COMUNICACAO LTDA;08/11/2012;Belo Horizonte;MG
BRXNQ TELECOMUNICACOES LTDA;09/12/2009;Brasília;DF
GCU SERVICOS DE PROVEDOR LTDA;23/09/2009;Guaraniaçu;PR
A Variani Júnior Serviços EIRELI - ME;18/02/2016;Rurópolis;PA
RVT NET TELECOMUNICAÇÕES LTDA - ME;16/06/2014;Campinas;SP
VGRNET INFORMATICA LTDA -ME;25/08/2014;Petrolina;PE
RIO CABLE TELECOM LTDA. - ME;21/01/2013;Conceição de Macabu;RJ
INTERCAMPO EMPREENDIMENTOS TECNOLOGICOS LTDA - EPP;15/10/2009;Ouro Preto;MG
V. MONTORO & CIA LTDA;07/11/2008;Palmeira d'Oeste;SP
FÁBIO DOS SANTOS GUERINO INFORMÁTICA LTDA ;28/11/2012;Mauá;SP
RODRIGO GONCALVES DENICOLO - ME;03/05/2017;Serra;ES
C.R. MARCILIO PAZ - ME;05/02/2016;Alto Alegre dos Parecis;RO
MACACAUBA NET SERVICOS DE INTERNET EIRELI - ME;02/06/2017;Juruti;PA
B. DOS S. VIEIRA NETO EIRELI  - ME;14/02/2017;Porto de Moz;PA
MAST TELECOMUNICAÇÕES & INFORMÁTICA LTDA  ME;26/04/2012;João Pessoa;PB
JORGE SANTOS FIGUEIREDO JUNIOR ME;27/11/2015;Nossa Senhora do Socorro;SE
PAULINO PEREIRA DOS SANTOS COMERCIO DE PAES - ME;29/12/2014;Carapicuíba;SP
WUZU TELECOMUNICAÇÕES LTDA;24/07/2009;Barueri;SP
IVATI INOVACAO E INTERATIVIDADE S/A;05/11/2009;Campinas;SP
LORIEDSON BATISTA PEREIRA - ME;04/12/2015;Varginha;MG
ORLANDO AUGUSTO PIRES BITTENCOURT - ME;20/11/2013;Barra de São Francisco;ES
R J COMERCIO E SERVIÇO DE COMUNICAÇÃO LTDA - ME;03/02/2016;Floresta;PE
GGT PROVEDOR INTERNET LTDA;21/09/2011;Santa Maria;RS
OLIVEIRA ALVES E AMORIM LTDA;22/01/2008;Corumbá;MS
ROUTE WAY TELECOMUNICAÇÕES E SERVIÇOS EIRELI - ME;09/02/2015;Patrocínio Paulista;SP
ITMINDS CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA - ME;17/11/2016;São Bernardo do Campo;SP
RALINK TELECOM LTDA ME;06/09/2011;Pirapora;MG
FACILNET PROVEDOR E SERVIÇOS LTDA - ME;02/03/2015;Açu;RN
WIN TIME INFORMATICA LTDA;28/02/2012;Parauapebas;PA
A DOS S CABRAL EIRELI  - ME;13/12/2016;Pacajá;PA
NETCOM.BR PROVEDOR DE INTERNET LTDA;31/07/2009;Gurupi;TO
CHARLES MENA SCATAMBURLO ;20/10/2011;Santa Cruz do Rio Pardo;SP
MAURO CEZAR DA FONSECA CUNHA - ME;22/09/2009;Bananal;SP
ANDERSON DE SOUSA COSTA ME;24/01/2014;Ilha Grande;PI
UBÁ CONECT TELECOM LTDA;08/11/2012;Ubá;MG
C DE ARAÚJO PINTO - ME;04/08/2016;Gurupi;TO
HOLZ E PINHEIRO PROVEDOR DE INTERNET LTDA - ME ;29/12/2014;Pelotas;RS
LENILSON FRANCISCO DA SILVA;13/10/2015;Surubim;PE
ALCANTARA & OLIVEIRA LTDA - ME;22/12/2014;Ibotirama;BA
F L MAGNAGO EIRELI - ME;02/07/2014;Cachoeiro de Itapemirim;ES
SPEEDNET PROVEDOR DE ACESSO A INTERNET LTDA;14/07/2011;Natal;RN
MULTIPLIC COMUNICAÇÃO E TECNOLOGIA LTDA - ME;26/09/2014;Santana de Parnaíba;SP
GLOBALNET LTDA-ME;13/09/2013;Parnaíba;PI
NOVANET TELECOMUNICACAO LTDA ME;28/05/2012;Rio de Janeiro;RJ
INTERFIBRAS TELECOMUNICAÇÕES LTDA - EPP;02/02/2015;Rondonópolis;MT
WELLINGTON SEVERINO DA SILVA ME;07/10/2013;Nazaré da Mata;PE
DIGITUS INFORMATICA LTDA - ME;03/05/2017;Jequitaí;MG
CANAL TELECOM TECNOLOGIA LTDA;10/04/2012;São José;SC
KONNET INFORMATICA LTDA;04/09/2007;Governador Valadares;MG
IMF NETWORK & DATA LTDA - ME;18/12/2013;Marília;SP
TELVOIP - SERVICOS EM EQUIPAMENTOS DE COMUNICACOES LTDA;24/03/2011;Cascavel;PR
GILBERTO DE AGUIAR - ME;28/11/2016;Pérola;PR
SANDRA CRISTINA OLIVEIRA DO NASCIMENTO LINS INFORMÁTICA - ME;22/10/2014;Recife;PE
FLORESTANET LTDA - ME;19/08/2016;Alta Floresta D'Oeste;RO
JURECI ARAUJO DOS SANTOS FILHO - ME;20/04/2016;Uruguaiana;RS
RAIMUNDO MEDRADO NETO - ME;25/04/2018;Juazeiro;BA
WORLD CONNECT INFORMATICA LTDA - ME;20/08/2010;Arceburgo;MG
C.F. SCANDURA INFORMATICA - ME;27/05/2014;São Paulo;SP
GIGA NET TELECOMUNICAÇÕES EIRELI - ME;05/08/2016;Campo Grande;MS
COPREL TELECOM LTDA;12/04/2011;Ibirubá;RS
AT PLUS TELECOM LTDA;28/11/2016;Lages;SC
PAULO DAMACENA PDM-NET - ME;10/01/2017;Lauro Muller;SC
LIFE NETWORKS E COMUNICAÇÃO LTDA - ME;26/05/2015;Guarulhos;SP
GLOBAL LINES NETWORK TELECOMUNICAÇÕES DO BRASIL LTDA ME;06/10/2011;Contagem;MG
CARLOS ROBERTO CARNEIRO SILVA - ME;01/02/2016;Franco da Rocha;SP
ARTUR GAMBI MOREIRA - ME;17/11/2010;Sales Oliveira;SP
MATUSALEM LIMA DA SILVA - ME;31/08/2017;Fortaleza;CE
R. ALECIO SACHETTI & CIA LTDA EPP;25/03/2013;Juara;MT
FARIA & SCHIMITH LTDA ME;29/03/2016;Bom Jesus do Tocantins;PA
ANTONIO NOGUEIRA DE OLIVEIRA NETO ME;13/12/2012;Brasilândia;MS
FRANCISCO LUIS TEIXEIRA DE MATOS - ME;28/08/2017;Fortaleza;CE
P. GEFFER DA SILVA - ME;24/06/2015;Pitanga;PR
DREAMNET PROVEDOR DE INTERNET LTDA;06/07/2010;Andrelândia;MG
BCNET COMERCIO DE EQUIPAMENTOS DE INFORMATICA EIRELI;10/05/2012;Barão de Cotegipe;RS
FEGUI-DS NET TELECOMUNICAÇÕES LTDA - ME;12/11/2015;São Paulo;SP
ELTON HENRIQUES JAQUES COSTA - ME;17/02/2016;Itaquaquecetuba;SP
ELI ANTONIO MARTINS ME;17/06/2016;Salto do Itararé;PR
RENATO DALVI PIO ME;08/09/2014;Castelo;ES
AMIGA PROVEDORA DE INTERNET LTDA ME;18/02/2014;Guarapari;ES
LOCALNET CENTRO DE DADOS LTDA;12/09/2012;Bento Gonçalves;RS
SEVERINO RAMILIO OLIVEIRA TEOTONIO - ME;04/07/2017;João Pessoa;PB
NV NET PROVEDOR DE INTERNET E SERVICOS LTDA - ME;27/06/2008;Nova Venécia;ES
INTERNET BANDA LARGA LTDA - ME;10/06/2014;Mimoso do Sul;ES
MAXCABO TELECOMUNICAÇÕES LTDA.;07/04/2014;Apucarana;PR
COMUNICACAO DE MULTIMIDIA VIAOM LTDA ME ;06/10/2009;Serra Talhada;PE
PATRIMONIO MONITORAMENTO ELETRONICO LTDA ;06/09/2011;Pontal do Paraná;PR
JCR CYBERNET TELECOM EIRELI - ME;23/05/2013;Lapa;PR
VIRTEX LTDA.;03/04/2006;Picos;PI
PR SERVIÇOS DE INFORMATICA E COMUNICAÇÃO LTDA - ME;17/02/2016;Sobral;CE
LEITE & SANTOS LTDA - ME;22/07/2016;Água Clara;MS
HILÁRIO E SANTOS SERVIÇOS DE COMUNICAÇÃO LTDA - ME;17/02/2016;Tabatinga;AM
R.C.F. - TELECOM LTDA - ME;11/02/2016;Morrinhos;GO
DIGITAL CENTER NET LTDA - ME;20/04/2016;Brasília;DF
OK VIRTUAL PROVEDOR DE INTERNET LTDA;04/02/2009;Saquarema;RJ
ONDANET LTDA;06/07/2010;Junco do Seridó;PB
QUADRI TELECOM LTDA -ME;07/11/2014;Joaquim Távora;PR
INFORLINE LTDA - ME  ;21/12/2010;Capinzal;SC
GABRIEL DILLMANN - ME;26/12/2016;Pelotas;RS
NETCON SERVICOS E TELECOMUNICACOES LTDA ME;15/10/2009;Serra;ES
MATEUS MOTTA LUIZ - ME;03/05/2017;Torres;RS
TURBONET TECNOLOGICA LTDA  - ME;17/11/2016;Capivari de Baixo;SC
ABIX TELECOM LTDA;11/03/2010;Curitiba;PR
SAMUEL FIGUEIREDO VIANA BRITO;14/07/2016;Crato;CE
CONECTJET - CONEXÕES RÁPIDAS LTDA EPP;06/10/2010;Niterói;RJ
BOA VISTA PROVEDOR DE INTERNET E INFORMÁTICA LTDA;08/11/2005;Ilópolis;RS
LILIAN CRISTINA GONÇALVES - ME;24/09/2010;Bauru;SP
GRUPO CONECTA TELECOM SERVIÇOS DE TELECOMUNICAÇOES LTA ME ;04/12/2012;Conceição do Araguaia;PA
FOUR WEB INTERNET DE BASTOS LTDA;17/11/2010;Bastos;SP
CALCONTEC TELECOMUNICAÇÕES E INFORMATICA LTDA.-ME;15/12/2006;Marília;SP
TOP NET SERVIÇOS INTELIGENTES LTDA - ME;11/05/2016;Goiânia;GO
FALEMAIS COMUNICACOES LTDA - EPP;08/10/2012;Monte Santo de Minas;MG
W2I TELECOM E SERVICOS LTDA - ME;25/06/2015;Suzano;SP
NOVANET - PROVEDOR E WEB LTDA - EPP;22/02/2012;Novo Progresso;PA
D C LEITE ME ;23/05/2012;Contagem;MG
SUMITA TELECOMUNICAÇÕES LTDA - ME;08/01/2013;Mandaguari;PR
INFINITI TELECOM EIRELI;22/11/2013;Angra dos Reis;RJ
MCNET - SERVICOS DE COMUNICACOES LTDA;04/02/2009;Roca Sales;RS
R DOS SANTOS SILVA TELECOMUNICACOES EIRELI  - ME;26/08/2016;Altamira;PA
R JOSE DA SILVA & CIA LTDA;12/04/2011;Ji-Paraná;RO
FAST INTERNET E INFORMATICA LTDA - ME;01/12/2014;Cambuquira;MG
GSCOM TECNOLOGIA E SERVICOS EM TELECOMUNICACAO LTDA ME;01/06/2010;Rio de Janeiro;RJ
W. P. E. GOMES - ME;10/08/2016;Campo Grande;MS
K. P. SILVA TELECOM;21/06/2017;Itaguaru;GO
NETTCON - PROVEDOR DE INTERNET LTDA - ME;02/02/2015;Novo Progresso;PA
FABRICIO FERNANDES HELENO ME;19/11/2014;Senhora de Oliveira;MG
COPNET COMERCIO E SERVICOS DE TELECOMUNICACOES LTDA - ME;07/10/2016;Olinda;PE
EGCOM TELECOMUNICACOES LTDA. - ME ;07/11/2011;Castro;PR
WXBR SISTEMAS DE TELECOMUNICACOES LTDA;08/10/2012;Campinas;SP
I-CONECTA REDES DE TELECOMUNICAÇÃO EIRELI EPP;08/04/2005;Casimiro de Abreu;RJ
FERNANDO PINTO CROSSETTI EPP;21/07/2015;Porto Alegre;RS
E&L PRODUÇÕES DE SOFTWARE LTDA;02/09/2005;Domingos Martins;ES
AGIL INFORMATICA LTDA;08/07/2015;Paranaiguara;GO
M4. NET ACESSO A REDE DE COMUNICAÇÃO LTDA ME;23/09/2005;Santa Cruz;RN
